United States,World
0,27
0,27
0,27
0,44
0,44
0,59
0,59
0,59
0,59
0,59
0,59
0,59
0,59
0,60
0,60
0,61
0,61
0,66
0,83
0,219
0,239
1,392
1,534
1,631
1,897
2,1350
2,2023
5,2820
5,4587
5,6067
5,7823
6,9826
7,11946
8,14554
11,17372
11,20615
11,24522
12,28273
12,31491
12,34933
12,37552
12,40540
13,43105
13,45177
14,60328
15,64543
15,67103
15,69265
15,71332
15,73327
15,75191
15,75723
16,76719
35,77804
35,78812
35,79339
53,80132
53,80995
59,82101
60,83365
66,85203
69,87026
89,89068
103,90865
125,93077
159,95316
233,98172
338,102133
433,105824
554,109695
754,114232
1025,118610
1312,125497
1663,133853
2174,143255
2951,154774
3774,167418
4661,180094
6427,194836
9415,213149
14250,242372
19624,271114
26747,305233
35206,338232
46442,377959
55231,416878
69194,468087
85991,527829
104686,591794
124665,656913
143025,715415
164620,777206
189618,851613
216721,928490
245540,1006076
277965,1087836
312237,1174315
337635,1245596
368196,1316986
398809,1391888
432132,1476818
466033,1563857
501560,1653206
529951,1734913
557571,1807303
582594,1873689
609516,1948922
639664,2029930
671331,2114269
702164,2197593
735086,2281714
759687,2355853
787752,2431705
825041,2520522
